Name	Input(s)	Output(s)	Duration	Produced With	Changes
Alternate: Cheap Silica	Raw Quartz(3), Limestone(5)	Silica(7)	16	Assembler	Input Amt Changed: Raw Quartz(4=>3), Input Amt Changed: Limestone(2=>5), Output Amt Changed: Silica(9=>7), Duration Changed(8.0=>16.0)
Silica	Raw Quartz(3)	Silica(5)	8	Constructor, Workbench	Input Amt Changed: Raw Quartz(2=>3), Output Amt Changed: Silica(3=>5), Duration Changed(4.0=>8.0)
Alternate: Quickwire Stator	Steel Pipe(4), Quickwire(15)	Stator(2)	15	Assembler	Input Amt Changed: Steel Pipe(6=>4), Input Amt Changed: Quickwire(20=>15), Output Amt Changed: Stator(3=>2), Duration Changed(20.0=>15.0)
Turbofuel	Fuel(6), Compacted Coal(4)	Turbofuel(5)	16	Oil Refinery	Input Added: Fuel(6), Input Removed: Packaged Fuel(5), Output Added: Turbofuel(5), Output Removed: Packaged Turbofuel(5)
Alternate: Turbo Rigour Motor	Motor(8), Radio Control Unit(4), A.I. Limiter(8), Stator(8)	Turbo Motor(3)	64	Manufacturer	
Alternate: Infused Uranium Cell	Uranium Pellet(40), Sulfur(45), Silica(45), Quickwire(75)	Encased Uranium Cell(35)	120	Manufacturer	Input Added: Uranium Pellet(40), Input Amt Changed: Quickwire(60=>75), Input Removed: Uranium(45)
Alternate: Iron Wire	Iron Ingot(5)	Wire(9)	24	Constructor	Input Amt Changed: Iron Ingot(2=>5), Duration Changed(8.0=>24.0)
Alternate: Caterium Wire	Caterium Ingot(1)	Wire(8)	4	Constructor	Output Amt Changed: Wire(9=>8), Duration Changed(8.0=>4.0)
Foundation 8m x 1m	Concrete(6)	Foundation 8m x 1m(1)	1	Build Tool	
Foundation 8m x 2m	Concrete(6)	Foundation 8m x 2m(1)	1	Build Tool	
Foundation 8m x 4m	Concrete(6)	Foundation 8m x 4m(1)	1	Build Tool	
Ramp 8m x 1m	Concrete(3)	Ramp 8m x 1m(1)	1	Build Tool	
Ramp 8m x 2m	Concrete(4)	Ramp 8m x 2m(1)	1	Build Tool	
Ramp 8m x 4m	Concrete(5)	Ramp 8m x 4m(1)	1	Build Tool	
Lookout Tower	Iron Plate(5), Iron Rod(5)	Lookout Tower(1)	1	Build Tool	
Wall 8m x 4m	Iron Plate(3), Concrete(3)	Wall 8m x 4m(1)	1	Build Tool	
Wall 8m x 4m	Iron Plate(3), Concrete(3)	Wall 8m x 4m(1)	1	Build Tool	
Conveyor Merger	Iron Plate(2), Iron Rod(2)	Conveyor Merger(1)	1	Build Tool	
Conveyor Splitter	Iron Plate(2), Cable(2)	Conveyor Splitter(1)	1	Build Tool	
Conveyor Lift	Iron Plate(2)	Conveyor Lift(1)	1	Build Tool	
M.A.M.	Reinforced Iron Plate(5), Cable(15), Wire(45)	M.A.M.(1)	1	Build Tool	new
Personal Storage Box	Iron Plate(6), Iron Rod(6)	Personal Storage Box(1)	1	Build Tool	
Beacon	Iron Plate(3), Iron Rod(1), Wire(15), Cable(2)	Beacon(1)	8	Workshop, Manufacturer	
Object Scanner	Reinforced Iron Plate(4), Beacon(3), Screw(50)	Object Scanner(1)	40	Workshop	
Chainsaw	Reinforced Iron Plate(5), Iron Rod(25), Screw(160), Cable(15)	Chainsaw(1)	60	Workshop	Input Amt Changed: Reinforced Iron Plate(10=>5)
Jump Pad	Rotor(2), Iron Plate(15), Cable(10)	Jump Pad(1)	1	Build Tool	Input Added: Rotor(2), Input Added: Iron Plate(15), Input Removed: Reinforced Iron Plate(2), Input Removed: Iron Rod(5)
Tilted Jump Pad	Rotor(2), Iron Plate(15), Cable(10)	Tilted Jump Pad(1)	1	Build Tool	Input Added: Rotor(2), Input Added: Iron Plate(15), Input Removed: Reinforced Iron Plate(2), Input Removed: Iron Rod(5)
U-Jelly Landing Pad	Rotor(2), Cable(20), Biomass(200)	U-Jelly Landing Pad(1)	1	Build Tool	Input Added: Rotor(2), Input Removed: Iron Rod(15)
AWESOME Sink	Reinforced Iron Plate(15), Cable(30), Concrete(45)	AWESOME Sink(1)	1	Build Tool	new
AWESOME Shop	Screw(200), Iron Plate(10), Cable(10)	AWESOME Shop(1)	1	Build Tool	new
Conveyor Belt Mk.2	Reinforced Iron Plate(1)	Conveyor Belt Mk.2(1)	1	Build Tool	
Conveyor Lift Mk.2	Reinforced Iron Plate(2)	Conveyor Lift Mk.2(1)	1	Build Tool	
Conveyor Pole Stackable	Iron Rod(2), Iron Plate(2), Concrete(2)	Conveyor Pole Stackable(1)	1	Build Tool	
Truck Station	Modular Frame(15), Rotor(20), Cable(50)	Truck Station(1)	1	Build Tool	Input Amt Changed: Modular Frame(10=>15), Input Amt Changed: Rotor(5=>20), Input Amt Changed: Cable(25=>50)
Tractor	Modular Frame(5), Beacon(5), Rotor(10)	Tractor(1)	1	Build Tool	Input Amt Changed: Modular Frame(2=>5)
Xeno-Basher	Modular Frame(5), Xeno-Zapper(2), Cable(25), Wire(500)	Xeno-Basher(1)	80	Workshop	
Hyper Tube Entrance	Encased Industrial Beam(4), Rotor(4), Steel Pipe(10)	Hyper Tube Entrance(1)	1	Build Tool	new
Hyper Tube Support	Iron Plate(2), Concrete(2)	Hyper Tube Support(1)	1	Build Tool	new
Hyper Tube	Copper Sheet(1), Steel Pipe(1)	Hyper Tube(1)	1	Build Tool	new
Conveyor Belt Mk.3	Steel Beam(1)	Conveyor Belt Mk.3(1)	1	Build Tool	
Conveyor Lift Mk.3	Steel Beam(2)	Conveyor Lift Mk.3(1)	1	Build Tool	
Stackable Pipeline Support	Iron Plate(4), Iron Rod(2), Concrete(2)	Stackable Pipeline Support(1)	1	Build Tool	new
Industrial Storage Container	Steel Beam(20), Steel Pipe(20)	Industrial Storage Container(1)	1	Build Tool	Input Added: Steel Beam(20), Input Amt Changed: Steel Pipe(15=>20), Input Removed: Encased Industrial Beam(15)
Unpackage Liquid Biofuel	Packaged Liquid Biofuel(1)	Liquid Biofuel(1), Empty Canister(1)	2	Oil Refinery	new
Unpackage Fuel	Packaged Fuel(1)	Fuel(1), Empty Canister(1)	2	Oil Refinery	new
Unpackage Oil	Packaged Oil(1)	Crude Oil(1), Empty Canister(1)	2	Oil Refinery	new
Unpackage Heavy Oil Residue	Packaged Heavy Oil Residue(1)	Heavy Oil Residue(1), Empty Canister(1)	6	Oil Refinery	new
Unpackage Water	Packaged Water(2)	Water(2), Empty Canister(2)	2	Oil Refinery	new
Industrial Fluid Buffer	Plastic(30), Heavy Modular Frame(3)	Industrial Fluid Buffer(1)	1	Build Tool	new
Empty Canister	Plastic(3)	Empty Canister(1)	6	Constructor, Workbench	new
Packaged Fuel	Fuel(1), Empty Canister(1)	Packaged Fuel(1)	3	Oil Refinery	Input Added: Fuel(1), Input Added: Empty Canister(1), Input Removed: Desc_CrudeOil_C(8), Output Amt Changed: Packaged Fuel(5=>1), Duration Changed(8.0=>3.0)
Liquid Biofuel	Solid Biofuel(6), Water(3)	Liquid Biofuel(4)	4	Oil Refinery	new
Packaged Liquid Biofuel	Liquid Biofuel(1), Empty Canister(1)	Packaged Liquid Biofuel(1)	4	Oil Refinery	new
Packaged Oil	Crude Oil(1), Empty Canister(1)	Packaged Oil(1)	5	Oil Refinery	new
Packaged Heavy Oil Residue	Heavy Oil Residue(1), Empty Canister(1)	Packaged Heavy Oil Residue(1)	6	Oil Refinery	new
Packaged Water	Water(1), Empty Canister(1)	Packaged Water(1)	2	Oil Refinery	new
Conveyor Belt Mk.4	Encased Industrial Beam(1)	Conveyor Belt Mk.4(1)	1	Build Tool	
Conveyor Lift Mk.4	Encased Industrial Beam(2)	Conveyor Lift Mk.4(1)	1	Build Tool	
Fuel Generator	Computer(5), Heavy Modular Frame(10), Motor(15), Rubber(50), Quickwire(50)	Fuel Generator(1)	1	Build Tool	Input Amt Changed: Motor(10=>15), Input Added: Rubber(50), Input Added: Quickwire(50), Input Removed: Cable(25)
Jetpack	Plastic(50), Circuit Board(15), Rubber(50), Cable(25)	Jetpack(1)	120	Workshop	
Freight Platform Liquid	Heavy Modular Frame(6), Computer(2), Concrete(50), Cable(25), Motor(5)	Freight Platform Liquid(1)	1	Build Tool	new
Empty Platform	Heavy Modular Frame(6), Concrete(50)	Empty Platform(1)	1	Build Tool	
GasFilter	Coal(5), Rubber(2), Fabric(2)	GasFilter(1)	8	Workshop, Manufacturer, Workbench	
Gas mask	Rubber(100), Plastic(100), Fabric(100)	Gas mask(1)	80	Workshop	
Biomass (Alien Carapace)	Alien Carapace(1)	Biomass(100)	4	Constructor, Workbench	
Rebar Gun	Reinforced Iron Plate(6), Iron Rod(16), Screw(100)	Rebar Gun(1)	100	Workshop	
Spiked Rebar	Iron Rod(1)	Spiked Rebar(1)	4	Constructor, Workshop, Workbench	
Biomass (Alien Organs)	Alien Organs(1)	Biomass(200)	8	Constructor, Workbench	new
Medicinal Inhaler: Alien Organs	Alien Organs(3), Mycelia(5)	Medicinal Inhaler(1)	20	Workshop	
Smart Splitter	Reinforced Iron Plate(2), Rotor(2), A.I. Limiter(1)	Smart Splitter(1)	1	Build Tool	Input Added: Reinforced Iron Plate(2), Input Added: Rotor(2), Input Removed: Encased Industrial Beam(2), Input Removed: Motor(1)
Supercomputer	Computer(2), A.I. Limiter(2), High-Speed Connector(3), Plastic(28)	Supercomputer(1)	32	Manufacturer, Workbench	Input Amt Changed: Plastic(21=>28)
Power Pole Mk.3	High-Speed Connector(2), Steel Pipe(2), Rubber(3)	Power Pole Mk.3(1)	1	Build Tool	Input Amt Changed: High-Speed Connector(1=>2), Input Added: Rubber(3), Input Removed: Concrete(3)
Programmable Splitter	Heavy Modular Frame(1), Motor(1), Supercomputer(1)	Programmable Splitter(1)	1	Build Tool	
Geo Thermal Generator	Supercomputer(8), Heavy Modular Frame(16), High-Speed Connector(16), Copper Sheet(40), Rubber(80)	Geo Thermal Generator(1)	1	Build Tool	Input Amt Changed: Heavy Modular Frame(8=>16), Input Added: High-Speed Connector(16), Input Added: Copper Sheet(40), Input Amt Changed: Rubber(50=>80), Input Removed: Cable(30)
Color Gun	Iron Plate(5), Screw(80), Wire(40)	Color Gun(1)	80	Workshop	
Color Cartridge	Flower Petals(25)	Color Cartridge(50)	40	Constructor, Workshop, Workbench	
Biomass (Mycelia)	Mycelia(10)	Biomass(10)	4	Constructor, Workbench	
Parachute	Fabric(10), Cable(5)	Parachute(5)	40	Workshop	
Nutritional Inhaler	Bacon Agaric(1), Paleberry(2), Beryl Nut(3), Mycelia(5)	Medicinal Inhaler(1)	20	Workshop	
Medicinal Inhaler	Bacon Agaric(1), Paleberry(3), Beryl Nut(7)	Medicinal Inhaler(1)	20	Workshop	new
Power Shard (1)	Green Power Slug(1)	Power Shard(1)	10	Constructor, Workbench	
Power Shard (2)	Yellow Power Slug(1)	Power Shard(2)	15	Constructor, Workbench	
Power Shard (5)	Purple Power Slug(1)	Power Shard(5)	20	Constructor, Workbench	
Explorer	Crystal Oscillator(5), Motor(5), Beacon(15), Heavy Modular Frame(5)	Explorer(1)	1	Build Tool	
Radar Tower	Heavy Modular Frame(30), Crystal Oscillator(30), Beacon(20), Cable(100)	Radar Tower(1)	1	Build Tool	Input Amt Changed: Heavy Modular Frame(5=>30), Input Amt Changed: Crystal Oscillator(15=>30), Input Amt Changed: Beacon(10=>20), Input Amt Changed: Cable(50=>100)
Black Powder	Coal(1), Sulfur(2)	Black Powder(1)	8	Workshop, Assembler, Workbench	
Nobelisk Detonator	Object Scanner(5), Encased Industrial Beam(5), Cable(50)	Nobelisk Detonator(1)	80	Workshop	Input Amt Changed: Encased Industrial Beam(10=>5)
Rifle	Steel Pipe(25), Heavy Modular Frame(3), Circuit Board(20), Screw(250)	Rifle(1)	120	Workshop	
Rifle Cartridge	Beacon(1), Steel Pipe(10), Black Powder(10), Rubber(10)	Rifle Cartridge(5)	20	Workshop, Manufacturer, Workbench	Input Added: Beacon(1), Input Amt Changed: Steel Pipe(4=>10), Input Added: Black Powder(10), Input Added: Rubber(10), Input Removed: Nobelisk(1), Output Amt Changed: Cartridge(4=>5)
Wall Conveyor x3	Iron Plate(3), Concrete(3)	Wall Conveyor x3(1)	1	Build Tool	
Wall Conveyor x2	Iron Plate(3), Concrete(3)	Wall Conveyor x2(1)	1	Build Tool	
Wall Conveyor x1	Iron Plate(3), Concrete(3)	Wall Conveyor x1(1)	1	Build Tool	
Wall Conveyor x3	Iron Plate(3), Concrete(3)	Wall Conveyor x3(1)	1	Build Tool	
Wall Conveyor x2	Iron Plate(3), Concrete(3)	Wall Conveyor x2(1)	1	Build Tool	
Wall Conveyor x1	Iron Plate(3), Concrete(3)	Wall Conveyor x1(1)	1	Build Tool	
Conveyor Wall Mount	Iron Rod(2), Iron Plate(2), Concrete(2)	Conveyor Wall Mount(1)	1	Build Tool	new
Curved Foundation	Concrete(6)	Curved Foundation(1)	1	Build Tool	new
Curved Inverted Foundation	Concrete(6)	Curved Inverted Foundation(1)	1	Build Tool	new
Curved Corner Foundation	Concrete(6)	Curved Corner Foundation(1)	1	Build Tool	new
Curved Corner Inverted Foundation	Concrete(6)	Curved Corner Inverted Foundation(1)	1	Build Tool	new
Cyber Wagon	Reinforced Iron Plate(10)	Cyber Wagon(1)	1	Build Tool	new
Corner Ramp Down 8m x 1m	Concrete(2)	Corner Ramp Down 8m x 1m(1)	1	Build Tool	new
Corner Ramp Up 8m x 1m	Concrete(2)	Corner Ramp Up 8m x 1m(1)	1	Build Tool	new
Corner Ramp Down 8m x 2m	Concrete(3)	Corner Ramp Down 8m x 2m(1)	1	Build Tool	new
Corner Ramp Up 8m x 2m	Concrete(3)	Corner Ramp Up 8m x 2m(1)	1	Build Tool	new
Corner Ramp Down 8m x 4m	Concrete(4)	Corner Ramp Down 8m x 4m(1)	1	Build Tool	new
Corner Ramp Up 8m x 4m	Concrete(4)	Corner Ramp Up 8m x 4m(1)	1	Build Tool	new
Wall Door Center	Iron Plate(3), Concrete(3)	Wall Door Center(1)	1	Build Tool	
Wall Door Left	Iron Plate(3), Concrete(3)	Wall Door Left(1)	1	Build Tool	
Wall Door Right	Iron Plate(3), Concrete(3)	Wall Door Right(1)	1	Build Tool	
Wall Door Center	Iron Plate(3), Concrete(3)	Wall Door Center(1)	1	Build Tool	
Wall Door Left	Iron Plate(3), Concrete(3)	Wall Door Left(1)	1	Build Tool	
Wall Door Right	Iron Plate(3), Concrete(3)	Wall Door Right(1)	1	Build Tool	
Gate 8m x 4m	Iron Plate(3), Concrete(3)	Gate 8m x 4m(1)	1	Build Tool	
Factory Cart™	Reinforced Iron Plate(4), Iron Rod(4), Rotor(2)	Factory Cart™(1)	1	Workshop	new
Pillar Base	Concrete(6)	Pillar Base(1)	1	Build Tool	new
Pillar Middle	Concrete(6)	Pillar Middle(1)	1	Build Tool	new
Pillar Top	Concrete(6)	Pillar Top(1)	1	Build Tool	new
Ramp Inverted 8m x 4m	Concrete(5)	Ramp Inverted 8m x 4m(1)	1	Build Tool	new
Ramp Double 8m x 8m	Concrete(5)	Ramp Double 8m x 8m(1)	1	Build Tool	new
Foundation Frame	Concrete(6)	Foundation Frame(1)	1	Build Tool	new
Foundation Glass	Concrete(6)	Foundation Glass(1)	1	Build Tool	new
Pipeline Wall Support	Iron Rod(2), Iron Plate(1), Concrete(2)	Pipeline Wall Support(1)	1	Build Tool	new
Pipeline Wall Through Hole	Iron Rod(2), Iron Plate(1), Concrete(2)	Pipeline Wall Through Hole(1)	1	Build Tool	new
Stairs Left	Concrete(5), Iron Plate(4)	Stairs Left(1)	1	Build Tool	
Stairs Right	Concrete(5), Iron Plate(4)	Stairs Right(1)	1	Build Tool	
Walkway Crossing	Iron Rod(2), Iron Plate(1)	Walkway Crossing(1)	1	Build Tool	
Walkway Ramp	Iron Rod(2), Iron Plate(1)	Walkway Ramp(1)	1	Build Tool	
Walkway Straight	Iron Rod(2), Iron Plate(1)	Walkway Straight(1)	1	Build Tool	
Walkway T-Crossing	Iron Rod(2), Iron Plate(1)	Walkway T-Crossing(1)	1	Build Tool	
Walkway Turn	Iron Rod(2), Iron Plate(1)	Walkway Turn(1)	1	Build Tool	
Wall Power Pole	Wire(4), Iron Rod(1)	Wall Power Pole(1)	1	Build Tool	new
Double-sided Wall Power Pole	Wire(8), Iron Rod(3)	Double-sided Wall Power Pole(1)	1	Build Tool	new
Double-sided Wall Power Pole Mk.3	High-Speed Connector(2), Steel Pipe(5)	Double-sided Wall Power Pole Mk.3(1)	1	Build Tool	new
Wall Power Pole Mk.3	High-Speed Connector(4), Steel Pipe(2)	Wall Power Pole Mk.3(1)	1	Build Tool	new
Wall Window 8m x 4m 01	Iron Plate(3), Concrete(3)	Wall Window 8m x 4m 01(1)	1	Build Tool	new
Wall Window 8m x 4m 02	Iron Plate(3), Concrete(3)	Wall Window 8m x 4m 02(1)	1	Build Tool	new
Wall Window 8m x 4m 04	Iron Plate(3), Concrete(3)	Wall Window 8m x 4m 04(1)	1	Build Tool	new
